Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD37548,10000.00,1328.00,23.397660,64.369864,-264697.409743,8.107346,35.396027,1.394,47.2369,1.36236,13.8684,1.70342,0,12.8732,10.9951,10.1987,1.76193
HD38078,10000.00,1328.00,20.199012,55.318549,-223453.984250,6.889569,30.413731,1.194,45.4157,1.65442,12.8999,1.93226,0,14.7875,10.9746,10.8197,1.51596
HD160691,10000.00,1328.00,22.529338,62.023595,-253231.164259,7.783867,34.035489,1.355,47.0786,1.48478,13.4776,1.75407,0,13.4575,11.1485,9.74035,1.85862
HD206630,10000.00,1328.00,20.511874,56.121443,-227552.524788,7.005383,30.872648,1.230,45.6086,1.63681,13.1099,1.90425,0,14.5798,10.7774,10.9965,1.38671
HD14745,10000.00,1328.00,22.010914,60.168062,-248242.742241,7.584679,33.167062,1.397,46.7778,1.87984,13.8064,1.72603,0,13.1252,10.3558,11.2567,1.07217
HD101612,10000.00,1328.00,19.343141,53.053051,-214257.677981,6.641248,28.968336,1.337,46.9697,1.83634,12.1676,1.92935,0,14.4411,10.2507,10.7017,1.70351
HD31527,10000.00,1328.00,21.125759,57.912947,-235895.082988,7.252897,31.836119,1.293,46.2449,1.59112,13.2588,1.8415,0,13.9667,10.7797,10.7869,1.53029
HD211534,10000.00,1328.00,19.045329,52.167419,-209222.766613,6.493965,28.517465,1.233,46.0202,2.00224,11.9306,2.00175,0,15.1774,10.5051,10.7468,1.61591
HIP33392,10000.00,1328.00,23.932253,65.593557,-268602.964883,8.182143,36.403163,1.144,44.6799,1.38838,14.3393,1.77922,0,13.7634,11.8957,10.7699,1.38422
HD206163,10000.00,1328.00,17.838430,48.801629,-195277.451484,6.077439,26.648882,1.250,46.1909,1.60482,11.9051,2.04176,0,15.6383,10.2831,10.7966,1.53947
HD94771,10000.00,1328.00,21.935219,60.226072,-245506.892226,7.539644,33.122455,1.295,46.3493,1.58882,13.4835,1.7955,0,13.8725,11.1358,10.1789,1.5957
HD86171,10000.00,1328.00,19.166126,52.413989,-210833.089378,6.519315,28.776522,1.186,45.3558,1.67028,12.5939,1.9854,0,15.3003,10.7608,10.9161,1.41754
HD40483,10000.00,1328.00,21.182269,58.113586,-236580.271481,7.287703,31.856931,1.338,46.7667,1.88414,12.8468,1.83839,0,13.7705,10.5284,10.7453,1.61982
HD297396,10000.00,1328.00,27.361066,75.301405,-314690.480400,9.563626,41.545667,1.504,47.9042,1.29881,14.6961,1.5454,0,11.3146,10.7802,10.7604,1.70045
BD-090872,10000.00,1328.00,18.195657,49.818978,-198554.904320,6.188194,27.166722,1.213,45.9828,2.16611,11.3575,2.06913,0,15.6553,10.3486,10.7716,1.64893
HD197210,10000.00,1328.00,19.788991,54.185990,-218151.646795,6.747526,29.723051,1.212,45.6734,1.61255,12.5793,1.96856,0,15.0827,10.7748,10.7673,1.54134
HD111031,10000.00,1328.00,22.708745,62.555832,-256160.074343,7.872490,34.289593,1.418,47.68,1.48956,13.5003,1.71418,0,13.1376,11.0095,9.59513,1.8738
HD202819,10000.00,1328.00,28.062907,76.856916,-316129.345765,9.569676,42.878566,1.050,43.5395,1.74719,14.7555,1.75225,0,13.2644,12.2016,11.4183,1.32128
HIP59925,10000.00,1328.00,19.558479,53.545310,-214497.896446,6.654946,29.306421,1.195,45.6258,1.93198,12.0296,2.01847,0,15.3757,10.6309,10.8083,1.57936
HD43197,10000.00,1328.00,21.787312,60.126578,-245329.728062,7.561473,32.870005,1.437,48.0038,1.36606,13.5176,1.71501,0,13.4106,11.09,8.82556,2.07137
HD19230,10000.00,1328.00,21.266142,58.364961,-235959.745674,7.267509,32.109578,1.180,45.4039,1.53811,13.0321,1.90814,0,14.5074,11.3062,10.5796,1.72448
HD81767,10000.00,1328.00,21.191454,58.294141,-237782.721016,7.340168,31.853539,1.432,47.849,1.56486,12.7678,1.80356,0,13.3375,10.372,10.3981,1.90713
HD201422,10000.00,1328.00,22.365962,61.266021,-249624.323330,7.662792,33.741393,1.255,45.8029,1.6515,13.4045,1.84328,0,14.0336,10.9112,10.9105,1.44244
HD148156,10000.00,1328.00,18.859568,51.961539,-210162.424005,6.554817,28.120933,1.536,49.3903,1.95266,11.1882,1.88098,0,13.5747,9.66152,10.1713,2.18032
HD22610,10000.00,1328.00,22.154162,60.676057,-249512.039739,7.631775,33.456840,1.353,46.5491,1.42301,13.9879,1.74567,0,13.3922,10.7731,10.8302,1.29886
HD107148,10000.00,1328.00,23.869529,65.794642,-268985.253718,8.264871,36.100489,1.358,47.1667,1.47303,13.4071,1.74634,0,13.0804,11.1573,9.93322,2.03593
HIP7058,10000.00,1328.00,37.105613,102.092550,-432900.840932,12.924891,57.232604,1.305,45.6883,1.25741,16.7149,1.37418,0,10.3322,12.4495,10.7936,1.38988
BD-213153,10000.00,1328.00,20.644296,56.223020,-226458.532483,6.966262,31.082702,1.071,43.9164,1.59388,13.2433,1.99407,0,15.8176,11.1364,11.3408,0.957604
HD214954,10000.00,1328.00,17.965308,49.418683,-197462.958683,6.181723,26.753330,1.384,48.0997,2.21309,10.6576,2.01151,0,14.7542,9.95474,10.1963,2.1128
HD177122,10000.00,1328.00,21.828283,59.847026,-243785.959326,7.493734,32.906545,1.287,46.1886,1.59343,13.2805,1.8404,0,13.9431,10.8186,10.789,1.54631
HD10647,10000.00,1328.00,20.822470,57.015237,-233316.503550,7.173659,31.283715,1.395,47.0639,1.80108,13.1313,1.80469,0,13.58,10.2123,11.0364,1.37042
HD220894,10000.00,1328.00,23.012461,63.264946,-263844.532314,8.073040,34.634458,1.671,49.57,1.76737,13.536,1.56964,0,11.3609,9.75953,10.8434,1.59313
HD159868,10000.00,1328.00,20.308394,55.642625,-225726.140552,6.952281,30.579808,1.255,45.9501,1.57261,13.0793,1.88572,0,14.399,10.8352,10.7648,1.51324
HD9608,10000.00,1328.00,19.444896,53.220441,-214020.708441,6.619183,29.204454,1.188,45.4313,1.74897,12.5057,1.98074,0,15.1898,10.8104,10.8315,1.50166
HD139590,10000.00,1328.00,21.881848,60.177874,-247532.229135,7.616732,32.902893,1.528,48.5594,1.56541,13.1168,1.71459,0,12.6533,10.1464,10.4718,1.77231
BD-012505,10000.00,1328.00,25.020205,68.750396,-284444.059629,8.681048,37.867196,1.415,47.1822,1.68662,14.0024,1.66105,0,12.2569,10.7251,10.8595,1.62632
HD156411,10000.00,1328.00,20.396502,55.872511,-226871.729436,6.991170,30.670023,1.290,46.2513,1.69497,12.9523,1.87971,0,14.2657,10.6031,10.8594,1.49353
HD208,10000.00,1328.00,22.215720,60.953965,-248675.560514,7.625750,33.592442,1.250,45.842,1.47939,13.593,1.81798,0,13.7978,11.1695,10.7049,1.59546
