Star,Mass
HIP116939,0.891857
HIP12147,1.799362
HIP15587,0.871725
HIP16094,2.542357
HIP17346,2.933116
HIP1745,
HIP18918,2.446284
HIP20444,2.466705
HIP21539,2.559927
HIP21934,3.455628
HIP22059,1.77097
HIP25612,1.136263
HIP26013,2.116431
HIP26542,2.240966
HIP31639,
HIP32127,
HIP32812,19.983634
HIP33392,1.643854
HIP35992,
HIP36347,9.48051
HIP38324,3.266757
HIP39470,1.572452
HIP41659,
HIP45301,2.493772
HIP46933,1.479831
HIP5114,
HIP5158,1.545944
HIP54446,3.447072
HIP54597,2.151093
HIP57688,4.437862
HIP58348,2.624596
HIP59925,1.48127
HIP61406,3.053338
HIP64965,6.266111
HIP67126,1.871192
HIP69224,2.129484
HIP7058,5.170733
HIP7743,2.303353
HIP78242,1.569049
HIP80083,
HIP88316,
HIP9398,3.188263
HIP96240,3.784066
HIP98764,3.118993
HIP99606B,
